symbol,reason
sh.688605,BaoStock错误：网络接收错误。
sh.688606,BaoStock错误：网络接收错误。
sh.688607,BaoStock错误：网络接收错误。
sh.688608,BaoStock错误：网络接收错误。
sh.688609,BaoStock错误：网络接收错误。
sh.688610,BaoStock错误：网络接收错误。
sh.688611,BaoStock错误：网络接收错误。
sh.688612,BaoStock错误：网络接收错误。
sh.688613,BaoStock错误：网络接收错误。
sh.688615,BaoStock错误：网络接收错误。
sh.688616,BaoStock错误：网络接收错误。
sh.688617,BaoStock错误：网络接收错误。
sh.688618,BaoStock错误：网络接收错误。
sh.688619,BaoStock错误：网络接收错误。
sh.688620,BaoStock错误：网络接收错误。
sh.688621,BaoStock错误：网络接收错误。
sh.688622,BaoStock错误：网络接收错误。
sh.688623,BaoStock错误：网络接收错误。
sh.688625,BaoStock错误：网络接收错误。
sh.688626,BaoStock错误：网络接收错误。
sh.688627,BaoStock错误：网络接收错误。
sh.688628,BaoStock错误：网络接收错误。
sh.688629,BaoStock错误：网络接收错误。
sh.688630,BaoStock错误：网络接收错误。
sh.688631,BaoStock错误：网络接收错误。
sh.688633,BaoStock错误：网络接收错误。
sh.688636,BaoStock错误：网络接收错误。
sh.688638,BaoStock错误：网络接收错误。
sh.688639,BaoStock错误：网络接收错误。
sh.688646,BaoStock错误：网络接收错误。
sh.688648,BaoStock错误：网络接收错误。
sh.688651,BaoStock错误：网络接收错误。
sh.688652,BaoStock错误：网络接收错误。
sh.688653,BaoStock错误：网络接收错误。
sh.688655,BaoStock错误：网络接收错误。
sh.688656,BaoStock错误：网络接收错误。
sh.688657,BaoStock错误：网络接收错误。
sh.688658,BaoStock错误：网络接收错误。
sh.688659,BaoStock错误：网络接收错误。
sh.688660,BaoStock错误：网络接收错误。
sh.688661,BaoStock错误：网络接收错误。
sh.688662,BaoStock错误：网络接收错误。
sh.688663,BaoStock错误：网络接收错误。
sh.688665,BaoStock错误：网络接收错误。
sh.688667,BaoStock错误：网络接收错误。
sh.688668,BaoStock错误：网络接收错误。
sh.688669,BaoStock错误：网络接收错误。
sh.688670,BaoStock错误：网络接收错误。
sh.688671,BaoStock错误：网络接收错误。
sh.688676,BaoStock错误：网络接收错误。
sh.688677,BaoStock错误：网络接收错误。
sh.688678,BaoStock错误：网络接收错误。
sh.688679,BaoStock错误：网络接收错误。
sh.688680,BaoStock错误：网络接收错误。
sh.688681,BaoStock错误：网络接收错误。
sh.688682,BaoStock错误：网络接收错误。
sh.688683,BaoStock错误：网络接收错误。
